unit_id,category,question_text,options,answer_index,explanation,image_url
3.正負の数の四則,1.正の数と負の数,累乗について、\( (-2)^2 \) の計算結果はいくらですか。,"[""2"", ""4"", ""-4"", ""-2""]",2,正解は 4 です。,
3.正負の数の四則,1.正の数と負の数,累乗について、\( -2^2 \) の計算結果はいくらですか。,"[""-2"", ""2"", ""-4"", ""4""]",3,正解は -4 です。,
3.正負の数の四則,1.正の数と負の数,1以外で、1とその数自身以外に約数をもたない自然数を何といいますか。,"[""因数"", ""素数"", ""合成数"", ""倍数""]",2,正解は 素数 です。,
3.正負の数の四則,1.正の数と負の数,ある自然数を素数だけの積の形で表すことを何といいますか。,"[""素因数分解"", ""因数分解"", ""比例"", ""等式変形""]",1,正解は 素因数分解 です。,
3.正負の数の四則,1.正の数と負の数,計算の順序について、四則が混じった計算ではどこを最優先しますか。,"[""たし算・ひき算"", ""かけ算・わり算"", ""左から順に"", ""括弧( )の中""]",4,正解は 括弧( )の中 です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( (-14 + (-3)) \times (-7) \),"[""119"", ""124"", ""118"", ""114""]",1,先に括弧の中を計算します。\( -14 + (-3) = -17 \) なので、\( (-17) \times (-7) = 119 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( 15 + 4 \times (-5) \),"[""-15"", ""-5"", ""0"", ""-3""]",2,先にかけ算を計算します。\( 4 \times (-5) = -20 \) なので、\( 15 + (-20) = -5 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( 6 + (-7) \times 6 \),"[""-41"", ""-37"", ""-36"", ""-38""]",3,先にかけ算を計算します。\( (-7) \times 6 = -42 \) なので、\( 6 + (-42) = -36 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( 14 + 8 \times 1 \),"[""27"", ""32"", ""20"", ""22""]",4,先にかけ算を計算します。\( 8 \times 1 = 8 \) なので、\( 14 + 8 = 22 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( 4 + (-4) \times (-4) \),"[""15"", ""30"", ""10"", ""20""]",4,先にかけ算を計算します。\( (-4) \times (-4) = 16 \) なので、\( 4 + 16 = 20 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( -11 + 8 \times (-3) \),"[""-37"", ""-45"", ""-35"", ""-33""]",3,先にかけ算を計算します。\( 8 \times (-3) = -24 \) なので、\( -11 + (-24) = -35 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( -14 + 5 \times 1 \),"[""-19"", ""-9"", ""1"", ""-7""]",2,先にかけ算を計算します。\( 5 \times 1 = 5 \) なので、\( -14 + 5 = -9 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( 12 + 2 \times (-5) \),"[""-3"", ""0"", ""4"", ""2""]",4,先にかけ算を計算します。\( 2 \times (-5) = -10 \) なので、\( 12 + (-10) = 2 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( 7 + 0 \times 0 \),"[""-3"", ""9"", ""7"", ""8""]",3,先にかけ算を計算します。\( 0 \times 0 = 0 \) なので、\( 7 + 0 = 7 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( (12 + 5) \times 1 \),"[""17"", ""7"", ""12"", ""15""]",1,先に括弧の中を計算します。\( 12 + 5 = 17 \) なので、\( 17 \times 1 = 17 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( (-14 + (-4)) \times 3 \),"[""-53"", ""-59"", ""-52"", ""-54""]",4,先に括弧の中を計算します。\( -14 + (-4) = -18 \) なので、\( (-18) \times 3 = -54 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( 0 + (-3) \times 1 \),"[""-5"", ""-8"", ""-3"", ""-1""]",3,先にかけ算を計算します。\( (-3) \times 1 = -3 \) なので、\( 0 + (-3) = -3 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( (-2 + (-3)) \times (-1) \),"[""-5"", ""5"", ""15"", ""7""]",2,先に括弧の中を計算します。\( -2 + (-3) = -5 \) なので、\( (-5) \times (-1) = 5 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( -8 + 0 \times (-1) \),"[""-6"", ""-8"", ""-18"", ""-7""]",2,先にかけ算を計算します。\( 0 \times (-1) = 0 \) なので、\( -8 + 0 = -8 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( (10 + 1) \times (-5) \),"[""-53"", ""-56"", ""-50"", ""-55""]",4,先に括弧の中を計算します。\( 10 + 1 = 11 \) なので、\( 11 \times (-5) = -55 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( 0.6 \times 2 + (-1.1) \),"[""0.0"", ""0.6"", ""0.1"", ""1.1""]",3,計算結果は \( 0.1 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( 0.9 \times 2 + (-1.9) \),"[""-1.1"", ""-0.1"", ""0.0"", ""0.4""]",2,計算結果は \( -0.1 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( \frac{6}{2} \times \frac{1}{2} \),"[""\\( \\frac{-3}{2} \\)"", ""\\( \\frac{3}{2} \\)"", ""\\( \\frac{3}{-2} \\)"", ""\\( \\frac{2}{3} \\)""]",2,分数の計算です。正解は \( \frac{3}{2} \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( 1.2 \times 2 + (-0.9) \),"[""1.4"", ""0.5"", ""1.0"", ""1.5""]",4,計算結果は \( 1.5 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( -1.1 \times 2 + 1.1 \),"[""-0.6"", ""-1.1"", ""-2.1"", ""-1.6""]",2,計算結果は \( -1.1 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( \frac{4}{5} \times \frac{1}{2} \),"[""\\( \\frac{2}{5} \\)"", ""\\( \\frac{5}{2} \\)"", ""\\( \\frac{2}{-5} \\)"", ""\\( \\frac{-2}{5} \\)""]",1,分数の計算です。正解は \( \frac{2}{5} \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( -3.2 \times 2 + (-0.8) \),"[""-7.1"", ""-7.7"", ""-7.2"", ""-6.2""]",3,計算結果は \( -7.2 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( \frac{2}{2} \times \frac{1}{2} \),"[""\\( \\frac{1}{-2} \\)"", ""\\( \\frac{1}{2} \\)"", ""\\( \\frac{-1}{2} \\)"", ""\\( \\frac{2}{1} \\)""]",2,分数の計算です。正解は \( \frac{1}{2} \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( \frac{2}{5} \times \frac{1}{2} \),"[""\\( \\frac{1}{-5} \\)"", ""\\( \\frac{5}{1} \\)"", ""\\( \\frac{1}{5} \\)"", ""\\( \\frac{-1}{5} \\)""]",3,分数の計算です。正解は \( \frac{1}{5} \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( 2.3 \times 2 + (-0.9) \),"[""3.2"", ""3.8"", ""3.7"", ""4.7""]",3,計算結果は \( 3.7 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( 4.1 \times 2 + (-0.5) \),"[""7.6"", ""6.7"", ""7.7"", ""8.2""]",3,計算結果は \( 7.7 \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( \frac{4}{2} \times \frac{1}{2} \),"[""\\( \\frac{0}{2} \\)"", ""\\( \\frac{2}{-2} \\)"", ""\\( \\frac{-2}{2} \\)"", ""\\( \\frac{2}{2} \\)""]",4,分数の計算です。正解は \( \frac{2}{2} \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( \frac{4}{3} \times \frac{1}{2} \),"[""\\( \\frac{3}{3} \\)"", ""\\( \\frac{2}{3} \\)"", ""\\( \\frac{2}{-3} \\)"", ""\\( \\frac{-2}{3} \\)""]",2,分数の計算です。正解は \( \frac{2}{3} \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( \frac{6}{6} \times \frac{1}{2} \),"[""\\( \\frac{3}{6} \\)"", ""\\( \\frac{6}{3} \\)"", ""\\( \\frac{3}{-6} \\)"", ""\\( \\frac{-3}{6} \\)""]",1,分数の計算です。正解は \( \frac{3}{6} \) です。,
3.正負の数の四則,1.正の数と負の数,次の計算をしなさい。\( -2.0 \times 2 + 1.6 \),"[""-2.4"", ""-2.5"", ""-2.9"", ""-2.3""]",1,計算結果は \( -2.4 \) です。,
3.正負の数の四則,1.正の数と負の数,\( 18 \) を素因数分解しなさい。,"[""\\( 2 \\times 3^2 \\)"", ""\\( 2 \\times 3^3 \\)"", ""\\( 2 + 3^2 \\)"", ""\\( 3 \\times 3^3 \\)""]",1,\( 18 \) を素数でわっていくと \( 2 \times 3^2 \) になります。,
3.正負の数の四則,1.正の数と負の数,\( 105 \) を素因数分解しなさい。,"[""\\( 3 \\times 5 \\times 72 \\)"", ""3 + 5 + 7"", ""\\( 3 \\times 5 \\times 7 \\)"", ""\\( 3 \\times 5 \\times 71 \\)""]",3,\( 105 \) を素数でわっていくと \( 3 \times 5 \times 7 \) になります。,
3.正負の数の四則,1.正の数と負の数,\( 36 \) を素因数分解しなさい。,"[""\\( 3^3 \\times 3^3 \\)"", ""\\( 2^2 + 3^2 \\)"", ""\\( 2^3 \\times 3^3 \\)"", ""\\( 2^2 \\times 3^2 \\)""]",4,\( 36 \) を素数でわっていくと \( 2^2 \times 3^2 \) になります。,
3.正負の数の四則,1.正の数と負の数,\( 18 \) を素因数分解しなさい。,"[""\\( 2 + 3^2 \\)"", ""\\( 3 \\times 3^3 \\)"", ""\\( 2 \\times 3^2 \\)"", ""\\( 2 \\times 3^3 \\)""]",3,\( 18 \) を素数でわっていくと \( 2 \times 3^2 \) になります。,
3.正負の数の四則,1.正の数と負の数,\( 90 \) を素因数分解しなさい。,"[""\\( 3 \\times 3^3 \\times 5 \\)"", ""\\( 2 \\times 3^2 \\times 5 \\)"", ""\\( 2 \\times 3^3 \\times 5 \\)"", ""\\( 2 + 3^2 + 5 \\)""]",2,\( 90 \) を素数でわっていくと \( 2 \times 3^2 \times 5 \) になります。,
3.正負の数の四則,1.正の数と負の数,\( 90 \) を素因数分解しなさい。,"[""\\( 3 \\times 3^3 \\times 5 \\)"", ""\\( 2 + 3^2 + 5 \\)"", ""\\( 2 \\times 3^3 \\times 5 \\)"", ""\\( 2 \\times 3^2 \\times 5 \\)""]",4,\( 90 \) を素数でわっていくと \( 2 \times 3^2 \times 5 \) になります。,
3.正負の数の四則,1.正の数と負の数,\( 540 \) を素因数分解しなさい。,"[""\\( 2^2 + 3^3 + 5 \\)"", ""\\( 3^3 \\times 3^3 \\times 5 \\)"", ""\\( 2^2 \\times 3^3 \\times 5 \\)"", ""\\( 2^3 \\times 3^3 \\times 5 \\)""]",3,\( 540 \) を素数でわっていくと \( 2^2 \times 3^3 \times 5 \) になります。,
3.正負の数の四則,1.正の数と負の数,\( 12 \) を素因数分解しなさい。,"[""\\( 2^3 \\times 3 \\)"", ""\\( 2^2 \\times 3 \\)"", ""\\( 2^2 + 3 \\)"", ""\\( 3^3 \\times 3 \\)""]",2,\( 12 \) を素数でわっていくと \( 2^2 \times 3 \) になります。,
3.正負の数の四則,1.正の数と負の数,\( 36 \) を素因数分解しなさい。,"[""\\( 3^3 \\times 3^3 \\)"", ""\\( 2^2 \\times 3^2 \\)"", ""\\( 2^2 + 3^2 \\)"", ""\\( 2^3 \\times 3^3 \\)""]",2,\( 36 \) を素数でわっていくと \( 2^2 \times 3^2 \) になります。,
3.正負の数の四則,1.正の数と負の数,\( 18 \) を素因数分解しなさい。,"[""\\( 2 + 3^2 \\)"", ""\\( 2 \\times 3^3 \\)"", ""\\( 2 \\times 3^2 \\)"", ""\\( 3 \\times 3^3 \\)""]",3,\( 18 \) を素数でわっていくと \( 2 \times 3^2 \) になります。,
3.正負の数の四則,1.正の数と負の数,\( 48 \) を素因数分解しなさい。,"[""\\( 2^4 \\times 3 \\)"", ""\\( 2^4 \\times 3' \\)"", ""\\( 3^4 \\times 3 \\)"", ""\\( 2^4 + 3 \\)""]",1,\( 48 \) を素数でわっていくと \( 2^4 \times 3 \) になります。,
3.正負の数の四則,1.正の数と負の数,\( 36 \) を素因数分解しなさい。,"[""\\( 2^2 + 3^2 \\)"", ""\\( 2^2 \\times 3^2 \\)"", ""\\( 3^3 \\times 3^3 \\)"", ""\\( 2^3 \\times 3^3 \\)""]",2,\( 36 \) を素数でわっていくと \( 2^2 \times 3^2 \) になります。,
3.正負の数の四則,1.正の数と負の数,\( 105 \) を素因数分解しなさい。,"[""\\( 3 \\times 5 \\times 72 \\)"", ""\\( 3 \\times 5 \\times 7 \\)"", ""\\( 3 \\times 5 \\times 71 \\)"", ""3 + 5 + 7""]",2,\( 105 \) を素数でわっていくと \( 3 \times 5 \times 7 \) になります。,
3.正負の数の四則,1.正の数と負の数,\( 72 \) を素因数分解しなさい。,"[""\\( 3^3 \\times 3^3 \\)"", ""\\( 2^3 \\times 3^3 \\)"", ""\\( 2^3 + 3^2 \\)"", ""\\( 2^3 \\times 3^2 \\)""]",4,\( 72 \) を素数でわっていくと \( 2^3 \times 3^2 \) になります。,
3.正負の数の四則,1.正の数と負の数,\( 20 \) を素因数分解しなさい。,"[""\\( 2^2 \\times 5 \\)"", ""\\( 2^3 \\times 5 \\)"", ""\\( 2^2 + 5 \\)"", ""\\( 3^3 \\times 5 \\)""]",1,\( 20 \) を素数でわっていくと \( 2^2 \times 5 \) になります。,
